file,totalChanges,fixCount,fixRate,riskLevel
.ai-files-auto.txt,68,20,29.4%,high
src/index.tsx,52,2,3.8%,low
public/static/nw-nav.js,44,8,18.2%,medium
public/static/data/sentinel-report.json,33,9,27.3%,high
public/wallet.html,32,6,18.8%,medium
public/static/data/sentinel-history.json,31,9,29.0%,high
public/battle.html,29,8,27.6%,high
public/forge.html,26,5,19.2%,medium
public/index.html,25,7,28.0%,high
memory.json,21,3,14.3%,low
public/cards.html,21,8,38.1%,high
public/merch.html,21,3,14.3%,low
public/markets.html,20,4,20.0%,medium
public/arcade.html,20,0,0.0%,low
public/static/data/showcase-live.json,19,4,21.1%,medium
public/collection.html,18,1,5.6%,low
public/wyckoff.html,18,3,16.7%,medium
public/static/nw-guide.js,18,5,27.8%,high
public/academy.html,17,2,11.8%,low
.ai-context.md,16,2,12.5%,low
public/market.html,14,1,7.1%,low
public/static/nw-wallet.js,14,1,7.1%,low
public/guide.html,14,1,7.1%,low
public/therapy.html,14,0,0.0%,low
CLAUDE.md,13,6,46.2%,critical
package.json,13,0,0.0%,low
public/citizenship.html,13,0,0.0%,low
public/embassy.html,13,1,7.7%,low
public/events.html,13,2,15.4%,medium
public/pvp-battle.html,13,2,15.4%,medium
public/tabletop.html,13,0,0.0%,low
public/regina.html,13,2,15.4%,medium
.mycelium/eval.json,12,6,50.0%,critical
.mycelium/memory.json,12,6,50.0%,critical
public/deckbuilder.html,12,1,8.3%,low
public/claim.html,12,1,8.3%,low
public/conspiracy.html,12,0,0.0%,low
public/court.html,12,0,0.0%,low
public/historical-society.html,12,2,16.7%,medium
public/hr.html,12,0,0.0%,low
public/invest.html,12,0,0.0%,low
.husky/pre-commit,11,2,18.2%,medium
public/tcg.html,11,0,0.0%,low
public/basement.html,11,0,0.0%,low
public/business.html,11,1,9.1%,low
public/buy.html,11,0,0.0%,low
public/crafts.html,11,1,9.1%,low
public/my-business.html,11,2,18.2%,medium
public/profile-card.html,11,1,9.1%,low
public/vault.html,11,2,18.2%,medium
